Lab 12: Técnicas de Red Team Techniques a través de MITRE ATTACK (Part 2);;
Nivel de Insignia;Desbloqueada cuando;Notas
Bronce;Comprendes la diferencia entre explotar una máquina y realizar una escalada de privilegios en ella.;
Bronce;Comprendes la diferencia entre un shell restringido y uno estándar;
Bronce;Puedes generar un shell no restringido desde uno que si lo está;
Bronce;Comprendes la estructura de un archivo /etc/passwd y las condiciones especiales que debe tener un usuario root;
Bronce;Sabes cómo generar contraseñas válidas de Linux a partir de texto sin formato;
Bronce;Comprendes cómo funciona la configuración de comandos sudo;
Bronce;"Puedes responder a esta pregunta: ¿Crees que crear un shell restringido es una característica de seguridad ""seria""?";
Bronce;Puedes encontrar cualquier programa que tenga los bits SetUID y SetGID habilitados;
Bronce;Comprendes el propósito de los bits SetUID y SetGID;
Bronce;Saber cómo obtener información y configurar cualquier opción de un exploit de MSF;
Bronce;Puedes responder a esta pregunta: ¿Puedes descargar código fuente de exploit-db? ¿qué puedes hacer para usarlo?;
Plata;"Comprendes el típico ""ciclo de lanzamiento de exploits"" de MSF";
Plata;Comprendes por qué es necesario multi/handler cuando se ejecutan exploits fuera del shell de comandos de MSF en lugar de lanzarlos dentro de MSF;
Plata;Conoces los pasos adecuados para elegir un payload adecuado para un exploit de MSF;
Plata;Comprendes la diferencia entre un shell no restringido y un shell root.  Puedes responder a esta pregunta: ¿Un shell no restringido te da más permisos?;
Plata;Sabes cómo crear servidores HTTP temporales para exfiltrar o recuperar información de sistemas remotos. Puedes responder a esta pregunta: ¿Qué podrías hacer para evitar que estos servidores HTTP se detecten fácilmente utilizando escaneos Nmap estándar? ;
Plata;"Puedes responder a estas preguntas: ¿Los shells sudo se obtienen normalmente con una funcionalidad equivalente a un ""shell estándar""? ¿Qué pasa si conseguimos ejecutar /bin/bash una vez que tenemos uno creado?";
Plata;Puedes comprender los procesos de escalada de privilegios. Puedes responder a esta pregunta: ¿Estos procesos te piden la contraseña de root en alguna parte del proceso?;
Plata;Puedes leer información privada usando GTFOBins SetUID y sudo.;
Plata;Puedes crear nuevos usuarios en un sistema utilizando GTFOBins SetUID y sudo.;
Plata;Puedes responder a esta pregunta: ¿Qué puedes hacer con el contenido de los archivos /etc/shadow si puedes leerlos?;
Plata;Comprendes por qué la modificación de un trabajo cron puede habilitar la escalada de privilegios o la exfiltración de datos privados. Puedes responder a esta pregunta: ¿Bajo qué identidad de usuario se ejecuta el trabajo cron?;
Plata;Comprendes que una vez que puedes modificar una tarea / dependencia que use privilegios sudo, puedes enviar el contenido exfiltrado a cualquier lugar / escribirlo en cualquier archivo.;
Oro;Comprendes cómo lanzar un payload generado con msfvenom y recoger sus resultados con un exploit multi/handler en MSF;
Oro;Sabes cómo interactuar con un shell de Meterpreter.  Puedes responder a la siguiente pregunta: ¿Qué crees que puedes hacer con la utilidad de carga de archivos?;
Oro;Puedes responder a estas preguntas: ¿Por qué los payloads inyectados en los servidores web son tan peligrosos? ¿Qué necesitabas para “disparar” el payload? ¿Consideras que esto es común? ;
Oro;Comprendes que a veces corromper un ejecutable no tiene efecto inmediato y debes esperar hasta que un proceso / usuario privilegiado lo ejecute;
Oro;Puedes responder a estas preguntas: ¿Qué podría suceder si alguien inspecciona un log y no está al tanto de las técnicas GTFOBin? ¿Puedes pensar en una utilidad alternativa de tener programas que se supone que hacen ciertas operaciones realizando otras diferentes  entonces?;
Oro;Puedes comprender por qué los programas SetUID de root pueden ser extremadamente peligrosos.;
Oro;Puedes responder a esta pregunta: ¿Establecer el bit SetUID en ciertos ejecutables es una forma de lograr la persistencia? ;
Oro;Puedes responder a estas preguntas: ¿Es fácil localizar cualquier nombre de usuario, contraseña, token de acceso, etc. codificado en cualquier ejecutable? ¿Puedes adivinar las funciones de API que usa un ejecutable? ¿Cómo se pueden prevenir este tipo de herramientas de análisis estático? ;
Platino;Ejecuta la orden 66: Tu habilidad con MSF y diferentes técnicas de escalado de privilegios te permiten convertirse en root en un sistema con ciertas vulnerabilidades conocidas y exfiltrar cualquier información privada que necesites de él.;
